# PA-STARNet: Pennsylvania Statewide Radio Network

Sites and Frequencies
Red (c) are control channel capable frequencies
RFSS 	Site 	Name 	County 	Freqs
3 (3) 	002 (2) 	NE Potter Co 	Potter 	161.800c	 	 	 	 	 
3 (3) 	003 (3) 	Waynesburg (GREE32) 	Greene 	854.5375c	854.9625c	855.7125	 	 	 
3 (3) 	005 (5) 	Harrison City 700 AG (WEST03) 	Westmoreland 	770.95625c	773.06875c	773.83475	 	 	 
3 (3) 	006 (6) 	Sewickley Heights (ALLE67) 	Allegheny 	854.1625	854.4875c	856.1125c	856.9625c	 	 
3 (3) 	007 (7) 	Templeton (ARMS01) 	Armstrong 	154.2425c	154.3325c	154.4375	 	 	 
3 (3) 	008 (8) 	Milford (PIKE33) 	Pike 	151.385	154.0325c	154.115c	 	 	 
3 (3) 	009 (9) 	Tharp Knob (FAYE09) 	Fayette 	854.050	854.350c	854.600c	 	 	 
3 (3) 	010 (A) 	Scranton (LACK33) 	Lackawanna 	854.275c	854.6875c	 	 	 	 
3 (3) 	011 (B) 	Bloss Mtn (TIOG01) 	Tioga 	152.065c	152.785	 	 	 	 
3 (3) 	012 (C) 	Wind Gap (NORH60) 	Monroe 	854.050	857.275c	858.050c	 	 	 
3 (3) 	149 (95) 	VHF Deployable 	Itinerant 	152.065c	152.755c	 	 	 	 
3 (3) 	150 (96) 	800 Deployable 	Itinerant 	853.1875	853.7875c	 
